reservation_number,status,source,is_ext,check_in,check_out,tax_exempt,discount_percent,discount_per_night,deposit,subtotal,tax_amount,total_price,total_paid,balance_due
RES-002,confirmed,booking.com,f,2026-04-18,2026-04-21,f,0.00,0.00,0.00,0.00,0.00,2200.00,0.00,2200.00
RES-004,confirmed,airbnb,f,2026-04-10,2026-04-16,f,0.00,0.00,0.00,0.00,0.00,1400.00,0.00,1400.00
RES-005,confirmed,phone,f,2026-04-08,2026-04-11,f,0.00,0.00,0.00,0.00,0.00,1050.00,1050.00,0.00
RES-101A,checked_out,direct,f,2026-04-03,2026-04-05,f,0.00,0.00,0.00,0.00,0.00,700.00,700.00,0.00
RES-101B,checked_in,booking.com,f,2026-04-07,2026-04-08,f,0.00,0.00,0.00,0.00,0.00,1400.00,700.00,700.00
RES-101C,confirmed,direct,f,2026-04-08,2026-04-13,f,0.00,0.00,0.00,0.00,0.00,1050.00,0.00,1050.00
RES-101D,confirmed,airbnb,f,2026-04-13,2026-04-18,f,0.00,0.00,0.00,0.00,0.00,700.00,700.00,0.00
RES-201A,checked_out,direct,f,2026-04-12,2026-04-18,f,0.00,0.00,0.00,0.00,0.00,2550.00,2550.00,0.00
RES-201B,confirmed,booking.com,f,2026-04-08,2026-04-12,f,0.00,0.00,0.00,0.00,0.00,3400.00,0.00,3400.00
RES-201C,checked_out,direct,f,2026-04-13,2026-04-24,f,0.00,0.00,0.00,0.00,0.00,2550.00,1000.00,1550.00
RES-20260407-011,confirmed,direct,f,2026-05-11,2026-05-24,f,15.00,0.00,0.00,6650.00,960.93,6613.43,0.00,6613.43
RES-20260410-001,cancelled,phone,f,2026-04-10,2026-04-11,f,0.00,0.00,0.00,100.00,17.00,117.00,94.00,23.00
RES-20260417-001,confirmed,phone,f,2026-04-21,2026-04-25,f,0.00,0.00,0.00,350.00,59.50,409.50,0.00,409.50
RES-20260418-001,confirmed,phone,f,2026-04-25,2026-04-30,f,0.00,0.00,0.00,700.00,119.00,819.00,0.00,819.00
RES-20260420-001,confirmed,phone,f,2026-04-25,2026-05-02,f,0.00,0.00,0.00,8750.00,1575.00,10325.00,0.00,10325.00
RES-20260508-001,confirmed,phone,f,2026-05-12,2026-05-14,f,0.00,0.00,0.00,700.00,126.00,826.00,0.00,826.00
RES-20260508-002,confirmed,phone,f,2026-05-16,2026-05-21,f,0.00,0.00,0.00,1050.00,189.00,1239.00,0.00,1239.00
RES-20260517-001,confirmed,phone,f,2026-05-16,2026-05-18,f,0.00,0.00,0.00,1650.00,297.00,1947.00,0.00,1947.00
RES-20260517-002,confirmed,phone,f,2026-05-17,2026-05-19,f,0.00,0.00,0.00,850.00,153.00,1003.00,0.00,1003.00
RES-20260708-001,confirmed,phone,f,2026-07-09,2026-07-31,f,0.00,0.00,0.00,18700.00,3366.00,22066.00,0.00,22066.00
